question,answers
Which horse won the 2014 Cheltenham Gold Cup?,Lord Windermere
Billy Bunter lived in mortal fear of which cane-toting schoolmaster?,Mr Quelch
Who created and drew the comic strip “The Fosdyke Saga”?,Bill Tidy
"Which schoolboy, created by Anthony Buckeridge, attended Linbury Court School?",Jennings
Which two countries are linked by the Brenner Pass?,Italy and Austria
"In which form did Zeus seduce Danae, resulting in the birth of Perseus?",A SHOWER OF GOLD
Who had overall command of the Task Force sent to get the Argentineans out of the 'Falklands'?,ADMIRAL SANDY WOODWARD
"Where in the human body, would you find the 'Sartorius Muscle'?",IN THE THIGH
"What was the occupation of the Ford workers who went on strike in 1968, the subject of the film 'Made In Dagenham'?",SEWING MACHINISTS
In which film did Jane Fonda play a hooker to win the 1971 Best Actress Oscar?,Klute
What is the name of Dan Dare’s Wigan-born batman?,ALBERT FITZWILLIAM DIGBY
Who wrote the plays “Nuts in May” and “Abigail’s Party”?,Mike Leigh
What is 'Crepe de Chine'?,SILK FABRIC
"At which specific location could you see 'The Brazen Serpent', 'The Punishment Of Haman' and 'David Slaying Goliath'?",ON THE CEILING OF THE SISTINE CHAPEL
What is the astronomical terminology fro 3.26 light years?,PARSEC
In Netball only two players can score a goal. One is Goal Shooter. Who is the other?,GOAL ATTACK
What was the nickname of Ethiopian athlete Miruts Yifter?,'YIFTER THE SHIFTER'
With which heavy metal pop group is Angus Young associated?,'AC/DC'
What is added to Vermouth and Whisky to make a 'Manhattan' cocktail?,DASH OF BITTERS
In “Far from the Madding Crowd” who became Bathsheba Everdene’s first Husband?,Sergeant Troy
Who starred in the TV series “Nice Guy Eddie” as a Liverpool private investigator?,Ricky Tomlinson
"In the Irish ballad, what did the 'Mountains of Mourne' do?","""""""SWEEP DOWN TO THE SEA"""""""
What was Cleo Laine's job when she first met Johnny Dankworth?,APPRENTICE HAIRDRESSER
What age horses run in the American Triple Crown races?,THREE YEAR OLDS
With what emblem is St. Peter usually portrayed?,KEYS
"Which family of birds, common throughout the world has the family name 'Strigidae'?",OWLS
Whose drum can be seen at Buckland Abbey in Devon?,FRANCIS DRAKE'S
Which famousfictional character was first introduced in a December 1927 edition of 'The Royal Magazine'?,MISS(Jane)MARPLE
Which battle of 10th October 732 AD saw Charles Martel lead the Franks to a decisive victory against the Moors?,BATTLE OF TOURS or POITIERS
Who was the Roman goddess of wisdom?,MINERVA
Which fruit is affected by the benevolent fungus known as 'Noble Rot'?,GRAPE
Which darts player is known as “The Count”?,Ted Hankey
Which writer created the detective Paul Temple?,Francis Durbridge
Who invented the breakfast cereal?,WILLIAM KELLOG
"""What line follows """"Suddenly, I'm not half the man I used to be"""", from the Beatles song 'Yesterday'?""","""""""THERE'S A SHADOW HANGING OVER ME"""""""
The first decade of which century witnessed the succession to the throne of Edward II?,FOURTEENTH
Which song by 'The Wurzels' was set top the music 'Paloma Blanca'?,'I AM A CIDER DRINKER'
"In 1999, who became King of Jordan following the death of King Hussein?",PRINCE ABDULLAH
Name the detective in'The Mousetrap'?,'SERGEANT TROTTER'
Which school is attended by the students in the t.v. series 'Glee'?,'MCKINLEY HIGH'
Which London brewery merged with Bass in 1967 to form the largest brewery in the UK?,CHARRINGTON
Whose cottage is on the left of the Constable painting The Hay Wain?,WILLY LOTT
"What is the occupation of Oliver Smallbridge, played by Windsor Davies, and Simon Peel, played by Donald Sinden in the long running sitcom Never the Twain?",ANTIQUE DEALERS
"What was the forename of the fictional detective, 'Inspector Maigret'.",JULES
"In TV's 'The Magic Roundabout', who rides around on a tricycle?",'MR. McHENRY'
There are two Household Cavalry regiments. Name either?,THE LIFE GUARDS and THE BLUES AND ROYALS
Which engineer built the Bridgewater canal?,James Brindley
"If a plastic milk bottle in the UK has a green top, what type of milk is normally contained inside?",Semi Skimmed
On television which actor played Jim Hacker MP?,Paul Eddington
What is comedian Jasper Carrot's real name?,Robert Norman Davis
"Which famous 'Coronation Street' actress died on Boxing Day, 1983?",VIOLET CARSON ('Ena Sharples')
"Who was the original printer of 'Parliamentary Debates', a verbatim record of Parliamentary speeches?",THOMAS HANSARD
What does the musical term 'Pianissimo' mean?,VERY SOFT
Who was the Roman counterpart of Athene?,MINERVA
Which US state has Des Moines as its capital?,IOWA
Which former 'Liverbird' went on to play The District Nurse' on T.V?,Nerys Hughes
What did the English dancer Margaret Kelly found in 1932?,Bluebell Girls
"Which actor, a former hospital patient in the T.V. comedy series 'Only When I Laugh' went on to play the Irish R.M.?",Peter Bowles
What was author Lewis Carroll's real surname?,Dodgson
"""What is the surname of former rally driver Roger Albert after whom the RAC Rally which began in 2004 is named - it follows a route based on the """"classic"""" RAC Rally first organised by the Royal Automobile Club in 1932?""",(ROGER ALBERT) CLARK
Which racecourse hosts the Scottish Grand National?,AYR
What did Nelson lose at Tenerife?,HIS ARM
What would you do if you found the instruction 'Da Capo' on a piece of music?,REPEAT FROM THE BEGINNING
"Apart from sugar and eggs, what is marzipan made from?",(ground) ALMONDS
"Name the Roman equivalent to the Greek goddess, Pallas Athena?",MINERVA
"In the nursery rhyme, what description is given to 'Wednesday's Child'?",'FULL OF WOE'
Where in the body would you find the 'Canal of Schlemm'?,IN THE EYE
What does the musical term 'Largo' mean?,BROADLY
What does the musical term 'Presto' mean?,VERY QUICK
"Sharing it with the surname of a well known football pundit, what is the SI unit of absorbed dose?",GRAY
"""Which month in the French Revolutionary Calendar was equivalent to June and had a name meaning """"harvest""""?""",Messidor
"""In """"The Mikado"""" by Gilbert and Sullivan, what is the name of the Mikado's son who is disguised as a wandering minstrel?""",Nanki-poo
"During World War I, what was the occupation of E.E. Cummings, Walt Disney, Ernest Hemmingway and Somerset Maugham?",AMBULANCE DRIVERS
"In Kenneth Graham's book, 'The Wind In The Willows', what is the full name of 'Mr. Toad'?",'J. THADDEUS TOAD'
"In the nursery rhyme, what was used to bind 'Jack's' head after he had fallen down the hill?",'VINEGAR AND BROWN PAPER'
Which town in Cumbria is famous for its annual horse fair?,APPLEBY-IN- WESTMORLAND
"In the novel 'Brigit Jones' Diary', what is the first name of her boss?",'DANIEL' (Cleaver)
What does the musical term 'Crescendo' mean?,GRADUALLY INCREASING
"There were two Royal Navy mutinies in 1797, one at the Nore, where was the other?",Spithead
What did Chuck Yeager do with 'Glamorous Glennis' in October 1947?,Broke the sound barrier
How did poet Alexander Pushkin die in 1837?,In A Duel
"Trevor Eve played investigator Eddie Shoestring on television, which British film actor played the boss of the radio station he worked for?",Michael Medwin
"In 'Thunderbirds', If 'Alan Tracy' was named after Alan Shepard and 'John Tacy' after John Glenn, after whom was 'Virgil Tracy' named?",VIRGIL 'GUS' GRISSOM
"What was the title of Japp Stam’s autobiography, which led to his departure from Manchester United?",HEAD TO HEAD
In which year did Mohammed’s flight from Mecca to Medina take place?,622 AD
What was Charlie Drake's catchphrase?,HELLO MY DARLINGS
Which golfer is the captain of the European team in 2014 Ryder cup?,Paul McGinley
What was the name of the trail boss in TV series Rawhide?,Gil Favor
Who was the secretary and mistress of disgraced MP John Stonehouse?,Sheila Buckley
"""Who was the original wagon-master in the classic TV western series “Wagon Train""""?""",Major Seth Adams
"""Who wrote the poem """"The Highwayman""""?""",Alfred Noyes
"Who plays Brutus, a bar owner, in the recent BBC comedy Sun Trap?",Bradley Walsh
"""Which product was advertised with the slogan """"Good to the last drop""""?""",COFFEE (Maxwell House)
"In Greek myth, into what creature did Artemis transform Actaeon?",STAG
Which animal is the subject of Edwin Landseer's famous painting 'Monarch Of The Glen'?,STAG
On which planet in our solar system would you find the Maxwell Montes mountains?,VENUS
By what other name is the bird the apteryx known?,KIWI
"Before entering show business, what was the occupation of Leonard Rossiter?",INSURANCE CLERK
Who wrote the book Tarka The Otter?,Henry Williamson
The Jewish festival of Purim celebrates the story of which woman in the Bible?,Esther
Which female figure is the French equivalent of Britannia?,Marianne
Who sang the theme for the Jams Bond film ‘Octopussy’?,Rita Coolidge
Oscuro is the darkest variety of which aromatic product?,Cigar Wrapper
"Which 2016 ‘reality’ T.V. competition was won on the 6th March by Ben Cohen, he was presented with the ‘prestigious’ Cow Bell Trophy?",The Jump
What was the name of the fictional country in the Marx Brothers film 'Duck Soup'?,Freedonia
Arthur Sugarman founded which clothing company in 1963 initially becoming fashionable for the mods?,Ben Sherman
Newport on the Isle of Wight stands on which river?,The Medina
Which England cricketer scored 258 against South Africa in the second test in January?,Ben Stokes
Which New Zealand Rugby player also has a professional boxing record of 7 wins 0 losses and 3 knockouts as a heavyweight professional boxer?,(Sonny-Bill) Williams
Which was the first musical to be penned by Andrew Lloyd Webber and Tim Rice?,The Likes of Us
"""Which actress, born Henriette Kaminker in 1921, won an Oscar in 1960 for the film """"Room at the Top""""?""",Simone Signoret
Who hosts Radio 1 breakfast show?,Nick Grimshaw
What position does Amber Rudd hold in the Cabinet?,Secretary of State for Energy and Climate Change
Barbara Havers is the assistant to which Scotland Yard detective in the novels of Elizabeth George?,INSPECTOR THOMAS LYNLEY
Which word completes the title of the 1926 D H Lawrence novel - The ______ Serpent?,PLUMED
What is the last word of the fourth line of the hymn Hark! The Herald Angels Sing – the last word of the third line is ‘mild’?,RECONCILED
Which song title links a 1957 single release by Carl Perkins and a 1963 single by the Dave Clark Five?,Glad All Over
German engineer and architect Hermann Tilke is best known for his design of over 25 what around the world?,Motor Racing Circuits
"""Who directed this year's Cannes Palme D'or winning film """"I, Daniel Blake""""?""",(Ken)Loach
"Which Scottish woman, profoundly deaf from the age of 12, has become due to her 'sensing* the vibration of music, a noted solo percussionist? She studied at the London Royal Academy and appeared at the opening ceremony of the London 2012 Olympic Games?",(Dame Evelyn) Glennie
"Which driver won the 2016 Spanish Grand Prix, the youngest ever winner of a Grand Prix?",Max Verstappen
Which legendary rock band was formed in 1973 by brothers Angus and Malcolm Young?,AC/DC
At which racecourse is the Scottish Grand National run each April?,AYR
Which astronomic unit of measurement is equal to 3.26 light years?,PARSEC
In Greek mythology what form did Zeus take so he could make love to Danae?,A SHOWER OF GOLD
Who was the performing partner of Donald Swann?,Michael Flanders
By what first name is West Indian cricketer Chanderpaul known?,SHIVNARINE
Which artistic movement was founded in 1911 by Walter Sickert?,Camden Town Group
"""Who composed the title music to the film """"The Deerhunter""""?""",Stanley Myers
Now in the Premier League who is the manager of Leicester City Football Club?,Nigel Pearson
Give either Christian name of the writer H.G Wells?,Herbert George
"Which US state has nicknames including 'The Cyclone State', 'The Land Of The Rolling Prairies' and 'The Hawkeye State'?",IOWA
"""Complete the 'Bullseye' quote: """"Stay out of the black and into the red, nothing in this game for.....""""what?""","""""""TWO IN A BED"""""""
Bon Scott was the lead singer of which rock group until his death in 1980?,'AC/DC'
Which 1936 novel tells the story of 20-year old Mary Yellan who was brought up on a farm but has to and live with her Aunt Patience in Cornwall after her mother dies?,Jamaica Inn
Which street in Wigan is the home of Wallace and Gromit?,West Wallaby Street
Who plays Kincade the estate gamekeeper in the Bond film Skyfall?,Albert Finney
Published in 2009 and set in 2006-2007 complete the title of the last book in the series Adrian Mole:,The Prostrate Years
Emile Ford and the Checkmates had a UK number one in 1959 with a song whose title included which parts of the body?,(What Do You Want To Make Those) Eyes (At Me For?)
Aisgill Summit is the highest point on which railway line?,SETTLE TO CARLISLE
"At which Grammar School is 'Mr. Cleaves' a bizarre teacher, in the first series of 'Little Britain'?",'KELSEY GRAMMAR SCHOOL'
"Located between the A580 and the Bridgewater Canal, at which former colliery now a museum, is the only surviving pit headgear and engine house in the Lancashire coalfield?",ASTLEY GREEN
What was the name of the fictional pair of old men who answered readers letters in the Daily Mirror for 54 years from 1936 to 1990?,'THE OLD CODGERS'
Who voiced the character of Bruce the shark in Finding Nemo?,Barry Humphries
What is the name of the Cricket ground which hosted its first England Test Match this year?,"THE ROSE BOWL (Southampton, Hampshire)"
"In the BBC comedy TV series 'It Ain't Half Hot Mum', who played the part of Gunner Beaumont?",Melvyn Hayes
Which Scottish cheese is rolled in oatmeal?,Caboc
Demophobia is the fear of what?,Crowds
Who bowled the one millionth ball in test cricket in England at the Ashes match at Trent Bridge in 2015?,Ben Stokes
"""Which actor spoke the line """"I love the smell of napalm in the morning* in the 1979 film Apocalypse Now?""",Robert Duval
"The Formula One Canadian Grand Prix is held at a circuit on Île Notre- Dame in Montréal, named after which former driver?",Gilles Villeneuve
What are below the map of the island on the flag of Cyprus?,(Two) Olive Branches
What was the real surname of Hergé who wrote The Adventures of Tintin?,Remi
Michael Caine won a Golden Globe for Best Actor for his role as Professor Frank Bryant in which 1983 film?,Educating Rita
"Much in the news recently, what job in the Government is held by James Brokenshire?",Minister for Security and Immigration
"""Which word completes the title of the jazz song first recorded in 1931 by Cab Calloway and his Orchestra, """"Minnie the _______""""?""",Moocher
Who jointly led the expedition from Melbourne to the Gulf of Carpentaria in 1860 to 1861 with Robert O’Hara Burke?,William John Wills
"Which actress, who appeared in 24 of the films, played Calpurnia in Carry On Cleo?",Joan Sims
What was the first hit for Roxy Music,Virginia Plain
You have all heard of Route 66 in America but which two cities does it link up,Chicago and Los Angeles
What is inscribed on the reverse of the Military Medal,For Bravery in the Field
In which TV quiz show does a computer called Mr Babbage feature,Family Fortunes
What were the names given to the two sides in the American Civil War,Union and Confederate
What was the name of the Virginian's ranch in the vintage western series The Virginian,Shiloh Ranch
What was the name of the Boswell's daughter in Bread,Aveline
Which two football clubs were elected to the Scottish league in 2000,Elgin City and Peterhead
The reigning champion in F1 gets car number 1 who gets number 2,His team mate
What are the two main colours on a Battenberg cake,Pink and yellow
Who wrote One Foot In The Grave,David Renwick
What pieces of sporting equipment are 28 inches high and 9 inches wide,Cricket wickets
In the sitcom My Wife Next Door which actress played Suzy Bassett,Hannah Gordon
Which two metals are alloyed to form brass,Copper and zinc
What were the christian names of the Davies brothers who were members of the Kinks,Ray and Dave
Which TV couple lived at 46 Peacock Drive Hampton Wick,George and Mildred Roper
What was the name of the street that the Steptoes lived in,Oil Drum Lane
What was Britain's 1992 Eurovision Song Contest entry sang by Michael Ball,One Step Out of Time
"Who appeared in the TV series Callan, Target and Special Branch",Patrick Mower
What is the name of the TV news company in Drop the Dead Donkey,Globelink
Who won the Monaco Grand Prix in 2000,David Coulthard
Who hosts TV's Water Colour Challenge,Hannah Gordon
What song was a top 10 for Michael Jackson in 1972 and for Marti Webb in 1985,Ben
Who plays the part of Clegg in Last of the Summer Wine,Peter Sallis
What was the sequel to a Fish Called Wanda,Fierce Creatures
"Only one British P.M. has been assassinated, but who shot him",John Bellingham
What was the name of the hit theme from the Van Der Valk T.V. series,Eye Level
What was the Shadows last number one,Foot Tapper
Who played the part of Fleur in The Forsyte Saga,Susan Hampshire
Where in the body would you find rod cells and cone cells,In the eye
What is bliss when it is folly to be wise,Ignorance
What was the follow up series of Porridge with Fletcher being released from jail,Going Straight
The theme from which TV drama gave Jimmy Nail a hit single,Crocodile Shoes
Who is Dangermouse's arch enemy,Baron Greenback
Three months after D-Day the blackout was relaxed what did it become known as,The dim out
Which aircraft company made the W W 1 fighter the Camel,Sopwith
Who was boxer Audley Harrison's first professional opponent,Mike Middleton
Where is the volcano Olympus Mons,On Mars
What extraordinary item of dress is a gibus,Collapsible top hat
What was the name of Buddy Holly's backing group,The Crickets
What was the name of Charles Bronson's character in The Magnificent Seven,Bernardo
What item of tableware was introduced into England by Thomas Coryat in 1608,The table fork
Solder is an alloy of which two metals,Tin and lead
Who had a top ten U.K. hit in 1990 with Naked in the Rain,Blue Pearl
At which former football ground would you have been able to watch from the Kippax Stand,Maine Road
What do Americans call fireflies,Lightning bugs
What was the first top ten entry for House of Pain (1993),Jump Around
"Lake Titicaca is on the border between two countries, name one of them",Peru and Bolivia
In the film Psycho where does the first murder occur,In the shower
At which ground are the All Ireland Gaelic Football finals held,Croke Park in Dublin
What was the name of the horse that Bob Champion rode to victory in the 1981 Grand National,Aldaniti
Who plays Boycie in Fools and Horses,John Challis
"Sunday county cricket teams playing in the Norwich Union League now have given themselves nicknames, what is the nickname of Northants",Steelbacks
What space first is held by Anna Fisher,First mother in space
"Liz McLarnon, Natasha Hamilton and Jenny Frost are all members of which pop group",Atomic Kitten
What was the sword of Damocles hanging from,A single hair
Which Motown singer had a top ten hit with It Should Have Been Me,Yvonne Fair
What is the name of the thoroughfare that runs past the front entrance of Old Trafford football ground,Sir Matt Busby Way
What was Peter Andre's first top ten entry (1996),Mysterious Girl
According to rhyme who stole a pig and away he ran,Tom the Piper's Son
Who was World 500 cc Motor Cycling Champion 1953 to 1955 (he was British),Geoff Duke
Which Blue Peter presenter praised a pair of door ornaments by saying what a beautiful pair of knockers,Simon Groom
What was the name of Reparata's backing group,The Delrons
Who flew the last Concorde on a scheduled flight,Mike Bannister
What is the name of the Motown record company's country label,Hitsville
Which British motor cycle manufacturer made the Condor motor cycle,Francis Barnet
Who was Joe Cocker singing about in Delta Lady,Rita Coolidge
Which English boxer lost World Championship bouts to Muhammad Ali and Floyd Patterson,Brian London
What was Pink Floyd's first single,Arnold Layne
What trophy is at stake when Australia play the West Indies at test cricket,Worrell Trophy
What dog is known as the King of the Terriers,Airedale
Which Olympic event in 1900 left around 300 creatures dead,Pigeon shooting
Which manager took Liverpool FC to six league titles and three European Cup wins,Bob Paisley
Which female newsreader threw a glass of wine over Tory MP Jonathan Aitken in 1983,Anna Ford
Who replaced Florence Ballard in the Supremes,Cindy Birdsong
What was the first UK number one for Jimmy Nail,Ain't No Doubt
Who was Bjorn Borg's opponent when he won his fourth Wimbledon singles title,Roscoe Tanner
Who played Fliss Hawthorne in the TV sitcom The Cuckoo Waltz,Diane Keen
Whose record did Babe Ruth break when he hit 60 home runs in 1927,His own
What was the name of the barge that carried the Queen during the river pageant in June 2012,Spirit of Chartwel
What part of the body would be protected by a piece of armour called a tasset,Upper thigh
What does the Latin phrase cum laude mean,With praise
"Who is Alexander Armstrong's comedy partner, who also starred in the first series of TV show Death In Paradise",Ben Miller
Who did Frank Bruno first fight for the Heavyweight Title of the World,Tim Witherspoon
At which football league ground can you sit in the Geoffrey Watling Stand,Carrow Road
"What is the link between Blue Peter, Pearl Diver and Sir Peter Teazle",Derby winners
In which Woody Allen film do a pair of burglars answer the phone and become random contestants in a phone in quiz show,Radio Days
Where did Philippe Cozette and Graham Fagg meet on December the first 1990,Under the English Channel
What four words did the Queen say as part of the 2012 Olympic Opening Ceremony in the video scene at Buckingham Palace,"Good evening, Mr Bond"
What was Blondie's last UK number one,Maria in 1999
Of what is agoraphobia the fear of,Open spaces
Who had a top ten hit in 2000 with Jerusalem,Fat Les
What did Buster Bloodvessel call the hotel he owned in Margate,Fatty Towers
Which role was played by Tim McInerny on TV's 'Blackadder IV',Captain Darling
What was Sam Cooke's only American Number 1,You Send Me
What was the name of the character played by Jodie Foster in Silence of the Lambs,Clarice Starling
Who played the unscrupulous Damien Day in the TV series Drop The Dead Donkey,Stephen Tompkinson
What was actress Michelle Collins job in the comedy drama Sunburn,Holiday rep
Who duetted with Tom Jones on the 1999 version of Baby It's Cold Outside,Cerys Matthews
Name either one of the beavers in The Angry Beavers Children's TV show,Norbert and Daggett
Who did Princess Margaret decide not to marry in 1955,Group Captain Peter Townsend
What percentage of the vote is needed to elect a Pope,Two thirds plus one
Who played Miss Moneypenny in the Bond film The Living Daylights,Caroline Bliss
"""What did """"loose lips"""" do, according to a popular rhyming WW2 slogan""",Sink Ships
What is the meaning of the christian name Cyril,Lordly
Who played DI Harry Naylor in the police drama series Between the Lines,Tom Georgeson
What is the name of Catherine Zeta Jones character in Chicago,Velma Kelly
What was the only UK hit for Tammy Jones,Let me Try Again
What was the first top ten entry for Jesus Jones,International Bright Young Thing
Who is alleged to have confessed to the murder of Brian Jones on his death bed,Frank Thorogood
"Dr Tom Parry Jones, who died in January 2013, developed and marketed which 'road safety' device in 1967",Electronic Breathalyser
What make of car was Alan Jones driving when he won the 1980 F1 championship,Williams Ford
Who designed Lady Sarah Armstrong-Jones wedding dress,Jasper Conran
"Before committing suicide, how many times did US Park Ranger Roy Smith survive being struck by lightning",Seven times
Harold J Smith became much more famous when he changed his name to what,Jay Silverheels
Which angel in Charlie's Angels was played by Jaclyn Smith,Kelly Garrett
Which bargain retail chain of shops was started in 1990 by David Dodd and Stephen Smith,Poundland
Which role did James Brown play in the film The Blues Brothers,Reverend Cleophus James
Which cleaning agent is used to preserve and clean leather,Saddle soap
Which ministry was run by Jim Hacker before he became Prime Minister in the TV sitcom Yes Prime Minister,Administrative Affairs
Sonny Liston only made one successful defence of his world title who was it against,Floyd Patterson
"Which cricket commentator, who mistakenly called Monty Panesar 'Monty Python', was awarded an OBE in 2003",Henry Blofeld
What feminine Christian name was coined by the author J.M. Barrie,Wendy
"""Finish this proverb """"If you run with the hares you can’t""""""",Hunt with the hounds
Who is the Governor of the Bank of England,Mark Carney
Who had a U.K. No 1 in the 70's with Ring My Bell,Anita Ward
At which theatre was Tommy Cooper appearing when he died on stage,Her Majesty's
What was the name of Long John Silver’s parrot,Captain Flint
Which comic actor composed Nancy With the Laughing Eyes for Frank Sinatra,Phil Silvers
Who was the golden girl on the Golden Shot who couldn't add up,Anne Aston
Which group had a hit single with a 1995 cover version of the Small Faces Itchycoo Park,M People
Who was Brigitte Bardot's first husband,Roger Vadim
Who sang with Gene Pitney on the 1989 hit Something's Gotten Hold of my Heart,Marc Almond
What are people who come from Naples called,Neapolitans
What does Mac in front of a surname mean,Son of
Who was the comedian noted for his odd odes,Cyril Fletcher
Where on a ship would you find the lubber's hole,On the mast
What was the name of the Brazilian girl who had a child by Ronnie Biggs allowing him to stay in Brazil,Raimunda
Who was the composer of the Student Prince,Sigmund Romberg
What is the name of the house in Cluedo in which the murder takes place,Arlington Grange
According to the proverb what is bliss when it is folly to be wise,Ignorance
Which group had a top ten hit in 1972 with Ball Park Incident,Wizzard
Whose bodyguards were known as the Memphis Mafia,Elvis Presley's
Where does the Government Chief Whip have his office,12 Downing Street
Who was the first man to bowl for England in a cricket test match wearing sunglasses,Darren Gough
What was the first British hatchback car,Austin A40
What would you be reading about in Glass's Guide,Used car prices
What are the curved arms that are used for lowering lifeboats called,Davits
Who was the first Football League substitute,Keith Peacock
Which page three girl had the biggest hits,Samantha Fox
What is Triskaidekaphobia the fear of,Number thirteen
What three English resorts are known collectively as Torbay,"Torquay, Paignton and Brixham"
"Whose first novel, A Woman of Substance, became a best seller",Barbara Taylor Bradford
Who scored Arsenal's last minute winner in the 1979 FA Cup Final,Alan Sunderland
What shade of cloth was Robin Hood supposed to favour,Lincoln Green
What sausage gets it's name from the Italian for Onion?,Chipolata
"What makes Argon, Neon and Helium unique in chemistry?",No compounds
'Dizzy' was a UK No.1 in April 1969 for who?,Tommy Roe
How did Van Gogh commit suicide?,He shot himself
Name the two tiles with the highest score in Scrabble?,Q and Z
Who presented the long-running radio programme 'Desert Island Discs' until his death in 1985?,Roy Plomley
"Complete this English proverb, 'A volunteer is worth'?",'twenty pressed men'
The Star fruit is found on which tree?,CARAMBOLA TREE
"According to the rhyme, what is 'Monday's child'?",fair of face
Which duo had a hit with 'Something Stupid'?,Frank and Nancy Sinatra
Who did Jai McDowall beat in this years final of Britain's Got Talent?,Ronan Parke
Britannia female embodiment of Britain who is the French?,Marianne
Which annual world championship is held at Coxheath Kent?,Custard Pie throwing
Thomas Minton at Stoke on Trent created what in 1789?,The Willow Pattern
Who wrote the book 'Black Beauty?,Anna Sewell
In what year did Queen Elizabeth II Become Queen?,(February) 1952
From which member of the Royal Family is David Cameron (British PM) directly descended?,Cameron descends from King William IV and his mistress Dorothea Jordan through their illegitimate daughter Lady Elizabeth FitzClarence
"Which 1987 film, set in South Africa, starred Kevin Kline and Denzel Washington?",Cry Freedom
What's the name of the actor who played 'Huggy Bear' in the Starsky and Hutch TV series?,Antonio Fargas
Who played the original 'Granddad' in Only Fools and Horses?,Lennard Pearce
"After appearing in 11 films together, including: The Long, Hot Summer (1958) Rally 'Round the Flag, Boys! (1958) From the Terrace (1960) Paris Blues (1961) A New Kind of Love (1963) What a Way to Go! (1964), the couple lived their private life together away from Hollywood's glare?",Paul Newman and Joanne Woodward
This couple were iconic dance partners who made motion pictures together from 1933 - 1949. They made a total of 10 movies?,"Fred Astaire (May 10, 1899- June 22, 1987) and Ginger Rogers (July 16, 1911 - April 25, 1995)"
"On a golf course, what is normally the only place you would be allowed to mark, lift and clean your ball?",On the putting green
Name the 1972 musical starring David Essex as Jesus Christ?,Godspell
What character was played by Gary Cooper in 'High Noon'?,Will Kane
There are only two landlocked countries in South America. Which are they?,Paraguay and Bolivia
Remember the song' Where Do You Go To My Lovely'? Who wrote it?,Peter Sarstedt
Who married Elizabeth Taylor in 1991 to become her eighth husband?,Larry Fortensky
"If you were a numismatist, what would you be studying?",Coins and Medals
Which actress played Cathy Gale in 'The Avengers'?,Honor Blackman
What is the real surname of actor Tom Cruise?,Mapother IV
"What was the name of the taxi company, shown on TV's TAXI?",The Sunshine Cab Company
"In the song, Solomon Grundy was born on Monday, what happened to him on Thursday?",Took ill
Who played the part of Cathy Gale in the Avengers?,Honor Blackman
Who did Rocky Marciano beat in his last World Heavyweight title fight?,Archie Moore
Who was Norman Stanley Fletcher's cellmate?,Lennie Godber
Which was the most successful Grand National horse?,Red Rum
Who played 'The Hudson Sisters' in the 1962 film 'Whatever Happened to Baby Jane'?,Bette Davis and Joan Crawford
Which two tribes combined to defeat General Custer's forces at the Battle of Little Big Horn?,Sioux and Cheyenne
On what date was John Lennon murdered in New York?,8 December 1980
What was Billy Cotton's famous catch phrase?,Wakey Wakey
Which actress took the lead roll in the 1988 film 'Working Girl'?,Melanie Griffith
"First shown in London in 1964, which musical is based on the legend of King Arthur?",Camelot
Who played James Herriot in the TV drama series 'All Creatures Great and Small'?,Christopher Timothy
Which 'Blue Peter' presenter was once a Dr. Who assistant?,Peter Purves
Who played DI Jack Regan in the TV series 'The Sweeny'?,John Thaw
For which event did Peter Wilson win Team GB's only shooting medal (gold)?,Men's double trap
Charity Tate (nee Dingle) ?,Emma Atkins
Heather Small was the lead singer in which band?,M People
"With the Olympic Games coming up in 2012, can you name one of the two years London has hosted the Olympic Games in the past?","1908, 1948"
'Bloody Mary' refers to which queen of England?,Mary 1
"In the 1989 film 'Shirley Valentine', who played the title roll?",Pauline Collins
What was the last line spoken in the film 'Some Like It Hot'?,"""""""Well, nobody's perfect"""""""
Whom did Boris Becker beat when he became the youngest Wimbledon champion?,Kevin Curren
etc. or et cetera is Latin for what?,And the rest
What is the exact imperial distance of a marathon race?,26 miles 385 yards
A 'jiffy' is an actual unit of time. How long?,1/100th of a second
"""Who had a 1962 hit with """"Wimoweh?""",Karl Denver
"""What is the only English word that ends in the letters """"mt""""?""","""""""Dreamt"""""""
"""What boxer answers to the nickname """"Sweet Pea""""?""",Pernell Whitaker
"""What boxing promoter's favourite expression is """"Only in America""""?""",Don King's
Which jockey won the 1981 Grand National after beating cancer?,Bob Champion
What was the source of Samson's strength?,His hair
Which two priceless resins were brought by the Magi to the infant Jesus?,Frankincense and myrrh
What sort of fish is a kipper?,(Smoked) Herring
"20, In London, what is the 'actual name' of the street 'known as' Petticoat Lane?",Middlesex Street
Which actress played the part of Angie in EastEnders?,Anita Dobson
What wartime position did General Montgomery assume in 1942?,"Commander-in-Chief, Middle East"
Who is depicted atop the Ryder Cup trophy (golf)?,Abe Mitchell
Which former Neighbours star played soon to be Edward V111 in 'The King's Speech'?,Guy Pearce
Who played 'Countess Dracula' in the 1971 film of the same name?,Ingrid Pitt
What was the nickname of 60's singer Brenda Lee?,Little Miss Dynamite
Name the character played by Harrison Ford in the 2000 film 'What Lies Beneath'?,Dr Norman Spencer
He starred in and sang the theme song for 'Hi-De-Hi. Who is he?,Paul Shane
Who won the best actress Oscar for the 1959 film Room at the Top?,Simone Signoret
Who was the first woman to reach the summit of Mt. Everest?,Junko Tabei
